cid,formula,polar_id,nonpolar_id,polar_spacegroup,nonpolar_spacegroup,structure_file,Ps,polarization_change_norm,dw_depth,path_barrier,gap_polar,gap_min,is_switchable,pol_smoothness_max,energy_smoothness
cid_56c2c6e34550cd25e92d8661,K2FeF5,mp-579331,mp-555882,33,60,structures/cid_56c2c6e34550cd25e92d8661_polar.json,0.5471683517302358,0.5471683517302358,-0.03218898437573614,427.7677458593745,3.6649,0.30600000000000005,0,0.26863693113714765,0.08932833454749127
cid_56c2bfba4550cd25e92d7697,K2ZnCl4,mp-618177,mp-653454,33,62,structures/cid_56c2bfba4550cd25e92d7697_polar.json,2.2306732749441225,2.2306732749441225,-0.39531785714297385,0.0,4.4002,4.4002,1,0.00018520613458999856,1.0130254439824004e-06
cid_56c2c3094550cd25e92d7d40,MgSiO3,mp-557803,mp-5026,33,60,structures/cid_56c2c3094550cd25e92d7d40_polar.json,1.1108532551137624,1.1108532551137624,-4.463862749998881,115.91482175000056,4.6615,4.5944,1,0.004856973728925329,0.0008995708354400928
cid_56c2c6b54550cd25e92d8623,Rb2CoCl4,mp-571242,mp-23076,33,62,structures/cid_56c2c6b54550cd25e92d8623_polar.json,0.07907740176563215,0.07907740176563215,-1.484608571428403,130.53924999999998,0.8309,0.26880000000000004,0,0.07642961091112412,0.03135367953404388
cid_56c2d9e04550cd25e92dac97,LiVPO4,mp-765022,mp-761338,33,60,structures/cid_56c2d9e04550cd25e92dac97_polar.json,0.12643811634265173,0.12643811634265173,-1.3250989285715775,0.0,2.6671000000000005,2.6661,1,6.834439483008538e-05,7.52458985512732e-07
cid_56c2beb84550cd25e92d7411,Rb2ZnCl4,mp-616185,mp-608314,33,62,structures/cid_56c2beb84550cd25e92d7411_polar.json,0.26628560807053414,0.26628560807053414,-0.3605271428570589,0.0,4.4486,4.4486,1,0.000279930044200016,1.934613395856826e-06
cid_56c2be344550cd25e92d7371,Ba2CrO4,mp-566511,mp-19703,33,62,structures/cid_56c2be344550cd25e92d7371_polar.json,2.7021511405133958,2.7021511405133953,-0.15375607142864567,75.38259749999997,1.7997999999999998,1.7958999999999996,0,0.005680281963889253,0.022421390947645652
cid_56c2cea54550cd25e92d9701,H3ClO5,mp-625175,mp-625148,33,62,structures/cid_56c2cea54550cd25e92d9701_polar.json,5.234242846616216,5.234242846616216,46.915437500000046,208.8109327777774,5.3835999999999995,5.0382,1,0.010173620115010149,0.002364550724480765
cid_56c2ce4e4550cd25e92d9675,H4NClO4,mp-698084,mp-706586,33,62,structures/cid_56c2ce4e4550cd25e92d9675_polar.json,2.203500207585305,2.203500207585305,-1.201720500000114,34.00842025000017,5.2674,5.2674,1,0.0032654568293779065,0.00020933366534919148
cid_56c2cd384550cd25e92d93e6,H8S(NO2)2,mp-24468,mp-23876,33,62,structures/cid_56c2cd384550cd25e92d93e6_polar.json,0.0017976311255299793,0.0017976311255299793,7.34995100000102,34.874554500000876,5.0725999999999996,4.843,1,0.029984683442866766,0.00010236661743640725
cid_56c2dd174550cd25e92db217,CrO3,mp-779941,mp-779986,33,62,structures/cid_56c2dd174550cd25e92db217_polar.json,0.370531454996211,0.370531454996211,21.37357750000035,21.37357750000035,1.5745,1.2345,1,0.016313321821138784,0.0001021035280142298
cid_56c2c3434550cd25e92d7d9a,KEr2F7,mp-27925,mp-558238,33,62,structures/cid_56c2c3434550cd25e92d7d9a_polar.json,1.527275485606641,1.527275485606641,-0.050101999999441205,0.0,6.9426000000000005,6.9366,1,0.00165687164049271,7.580737129675827e-06
cid_56c2c0134550cd25e92d777f,PbCN2,mp-619032,mp-19727,33,62,structures/cid_56c2c0134550cd25e92d777f_polar.json,10.543112956925123,10.543112956925123,-3.248878750000017,0.0,1.8531999999999997,1.8531999999999997,1,0.00019919487223443957,3.509154204557563e-06
cid_56c2c67b4550cd25e92d85dd,TiCdO3,mp-5052,mp-14550,33,62,structures/cid_56c2c67b4550cd25e92d85dd_polar.json,34.83230967737538,34.83230967737538,3.5632195000001587,3.5632195000001587,2.4146,2.1199999999999997,1,0.021078308986734687,1.5620586668878987e-05
cid_56c2c1294550cd25e92d78fa,InBiO3,mp-556892,mp-561102,33,62,structures/cid_56c2c1294550cd25e92d78fa_polar.json,64.74323849972691,64.74323849972691,11.034071999999284,173.8984884999999,2.7737,1.1715,0,0.4086201207646045,0.0016711699646594228
cid_56c2c3614550cd25e92d7db9,NbPO5,mp-556918,mp-5803,33,62,structures/cid_56c2c3614550cd25e92d7db9_polar.json,4.020326841267374,4.020326841267374,-0.605449999998342,0.0,2.2581,2.165,1,0.002009066501000765,2.4311073820839623e-06
cid_56c2d4a24550cd25e92da276,LiMnPO4,mp-780646,mp-18997,33,62,structures/cid_56c2d4a24550cd25e92da276_polar.json,13.017072035832154,13.017072035832152,-66.74566821428662,499.41928714285666,3.1529000000000003,2.1416000000000004,0,0.17484970902470096,0.11664628486893501
cid_56c2c6744550cd25e92d85d5,CsZnPO4,mp-559752,mp-18673,33,62,structures/cid_56c2c6744550cd25e92d85d5_polar.json,0.9624499567446199,0.96244995674462,12.272304642857002,13.887306071429073,3.9656,3.8838000000000004,1,0.0003639296628931782,0.0002217152730556827
cid_56c2d5b94550cd25e92da494,LiMnPO4,mp-761551,mp-868359,33,62,structures/cid_56c2d5b94550cd25e92da494_polar.json,23.169574518117827,23.169574518117827,14.43030357142927,526.8263010714289,3.0320000000000005,2.1607,0,0.13803588654284946,0.09852609818535837
cid_56c2c0554550cd25e92d7803,PbN6,mp-620058,mp-667338,33,62,structures/cid_56c2c0554550cd25e92d7803_polar.json,0.42946024772864444,0.4294602477286444,-0.32794464285679226,0.0,2.2917999999999994,2.2855999999999996,1,0.0035546797224979,1.9815265607846695e-06
cid_56c2da4f4550cd25e92dad4c,LiMnPO4,mp-766735,mp-868359,33,62,structures/cid_56c2da4f4550cd25e92dad4c_polar.json,5.3237804433412785,5.3237804433412785,29.86187000000129,521.7125239285716,3.3658999999999994,2.2513000000000005,0,0.16807033443998623,0.12278604052718811
cid_56c2de294550cd25e92db381,Li2FeF4,mp-777471,mp-777588,33,63,structures/cid_56c2de294550cd25e92db381_polar.json,57.169818200651285,57.169818200651285,45.05446285714321,489.82523928571453,3.5611999999999995,3.1644,0,0.14727374417905648,0.029500264738771553
cid_56c2d37d4550cd25e92da038,LiVSiO4,mp-767103,mp-767620,33,62,structures/cid_56c2d37d4550cd25e92da038_polar.json,1.6973644948681221,1.6973644948681224,18.772486428570545,257.87103857142847,2.635,1.3988000000000005,0,0.12563752159357136,0.030200539298791552
