filepath,formula,spacegroup_number,spacegroup_symbol,num_atoms,endpoint,gcnn_probability,nequip_probability,gcnn_ferroelectric,nequip_ferroelectric,consensus_ferroelectric,avg_probability
/home/ubuntu/ai_wh/wh-ai/new_data/database/CuGeI3/mp_1096949_mp_2896844_cost_0.2137/1_normalized.vasp,CuGeI3,8,Cm,5,1,0.9674577116966248,0.9996227025985718,True,True,True,0.9835402071475983
/home/ubuntu/ai_wh/wh-ai/new_data/database/Er2(SeO4)3/mp_1225234_mp_1237904_cost_0.1747/1_normalized.vasp,Er2(SeO4)3,5,C2,17,1,0.9642012715339661,0.9999984502792358,True,True,True,0.982099860906601
/home/ubuntu/ai_wh/wh-ai/new_data/database/EuMgVO3/mp_2242227_mp_2224263_cost_0.1844/1_normalized.vasp,EuMgVO3,1,P1,6,1,0.9999827146530151,0.9638877511024475,True,True,True,0.9819352328777313
/home/ubuntu/ai_wh/wh-ai/new_data/database/TlNO2/mp_676400_mp_4453_cost_0.0819/1_normalized.vasp,TlNO2,1,P1,12,1,0.9631597399711609,0.9999983310699463,True,True,True,0.9815790355205536
/home/ubuntu/ai_wh/wh-ai/new_data/database/PbF2/mp_685150_mp_2511_cost_0.2847/1_normalized.vasp,PbF2,41,Aea2,12,1,0.9619923830032349,0.9999707937240601,True,True,True,0.9809815883636475
/home/ubuntu/ai_wh/wh-ai/new_data/database/CsMg14B/mp_1026611_mp_1026562_cost_0.4562/1_normalized.vasp,CsMg14B,38,Amm2,16,1,0.9999799728393555,0.9619123935699463,True,True,True,0.9809461832046509
/home/ubuntu/ai_wh/wh-ai/new_data/database/LuHO2/mp_753947_mp_625367_cost_0.2666/1_normalized.vasp,LuHO2,31,Pmn2_1,8,1,0.9605928063392639,0.9999892711639404,True,True,True,0.9802910387516022
/home/ubuntu/ai_wh/wh-ai/new_data/database/NaMgV2Bi3O10/mp_2229135_mp_2229079_cost_0.2006/1_normalized.vasp,NaMgV2Bi3O10,1,P1,17,1,0.9978629946708679,0.9620234966278076,True,True,True,0.9799432456493378
/home/ubuntu/ai_wh/wh-ai/new_data/database/LiTaO3/mp_1105326_mp_1105280_cost_0.1314/1_normalized.vasp,LiTaO3,62,Pnma,20,1,0.9599132537841797,0.999972939491272,True,True,True,0.9799430966377258
/home/ubuntu/ai_wh/wh-ai/new_data/database/MgTi2Tl2(PS5)2/mp_2229411_mp_2228924_cost_0.4891/1_normalized.vasp,MgTi2Tl2(PS5)2,1,P1,17,1,0.9560127854347229,0.9999979734420776,True,True,True,0.9780053794384003
