generated_id,generated_formula,mp_id,mp_formula,mp_spacegroup,total_score,composition_match,lattice_score,volume_score,spacegroup_match,mp_volume,mp_a,mp_b,mp_c,mp_alpha,mp_beta,mp_gamma,mp_energy_above_hull,mp_band_gap,mp_is_stable,mp_is_polar,mp_point_group
90,N-Ge-O,mp-778194,Ge2N2O,9,83.60013274733505,100.0,81.58482643885336,87.72721746868191,False,136.60479106520586,5.671285038851954,5.671285038851954,5.974267357813592,62.21404759543976,62.21404759543976,56.99438230354459,0.036619849499998004,2.4301999999999992,False,True,m
113,O-Si-H,mp-626037,Si2H2O5,5,83.31868027663619,100.0,82.27846770303618,85.10608290286761,False,242.78047702401994,8.75201718722564,8.75201718722564,5.954907787376141,70.51679895847131,70.51679895847131,34.6143033873583,0.039097460092591005,5.5156,False,True,2
67,O-Ba-I,mp-1104459,BaIO5,2,83.18983905266725,100.0,87.75033178910842,74.88611463239654,False,303.8079904623289,5.874343,7.095514445298804,7.375664755163225,88.8013154965073,87.9152724866114,81.49364634374054,0.887580546696431,0.0,False,False,-1
113,O-Si-H,mp-24431,Si2H2O3,148,82.57953172931191,100.0,89.05092891966963,69.55853303713768,False,401.0147825444685,7.522162361251783,7.522162361251783,7.522162160853021,77.96467515587972,77.96467515587972,77.9646779275614,0.025190906428571,6.372199999999999,False,False,-3
83,O-Sc-Ga,mp-769079,ScGaO3,185,82.42883092579656,100.0,83.29721147421681,78.87403454910338,False,328.43508193907246,5.734680531028742,5.734676261226665,11.53189412000198,90.00004383659663,89.99993243552586,119.99997088275686,0.00453056070833,3.1715,False,True,6mm
140,O-Ba-I-H,mp-24090,BaH4(IO)2,15,82.15625282506919,100.0,86.03576472172321,72.71867586233036,False,349.7313406551487,6.747717673907971,6.747717673907971,8.800882243568994,72.87090193039704,72.87090193039704,69.16496629751238,0.0014177525000000002,3.6583,False,False,2/m
43,N-Cs-O,mp-3288,CsNO2,152,81.88055604669533,100.0,89.4206585495942,65.41662777168682,False,239.55683033209817,5.90621212,5.906211906906184,7.92975677,90.0,90.0,120.00000119350388,0.0,2.3632,True,False,32
113,O-Si-H,mp-626085,Si2H2O5,1,81.60869408785354,100.0,79.28928616988034,81.78721964197706,False,235.96433410600238,5.094856,6.1178883123002485,8.48547551759128,109.3547182502615,106.31350421369181,93.54499956078503,0.141962792870369,4.5416,False,True,1
140,O-Ba-I-H,mp-643384,BaHIO,62,81.45733363835808,100.0,90.68214777705923,61.09290958193675,False,416.2839873568477,4.559221,8.135287,11.223445,90.0,90.0,90.0,0.0,3.936199999999999,True,False,mmm
83,O-Sc-Ga,mp-754239,ScGaO3,62,81.16075089675634,100.0,81.98551819864677,74.82909763614983,False,206.95704441515204,5.064654,5.383967,7.58976,90.0,90.0,90.0,0.076462109874998,4.3308,False,False,mmm
90,N-Ge-O,mp-859876,Ge2N2O,36,80.67657369674023,100.0,72.24957793413661,89.4461070989621,False,138.72871951898506,8.910443031489567,8.910443031489567,5.109958,90.0,90.0,160.0048603813104,0.048209399499999,2.3442,False,True,mm2
10,H-Cs-O,mp-30089,CsH3O2,141,80.39688350518057,100.0,67.92803427587124,95.61035754312815,False,138.45780248262926,7.8299641118468095,7.8299641118468095,7.8299641118468095,147.45001382293174,147.45001382293174,46.697922231959566,0.08160768833333301,4.7105,False,False,4/mmm
