material_id,formula,spacegroup_number,spacegroup_symbol,num_atoms,energy_above_hull,is_stable,gcnn_probability,nequip_probability,gcnn_ferroelectric,nequip_ferroelectric,consensus_ferroelectric,avg_probability,is_known_fe
mp-510293,Pb3SeO5,36,Cmc2_1,18,0.0,True,6.665498858637875e-06,1.0767978892545216e-05,False,False,False,8.716738875591545e-06,True
mp-1191811,BaZnTe2O7,40,Ama2,22,0.0,True,8.381461157114245e-06,8.034481652430259e-06,False,False,False,8.207971404772252e-06,True
mp-644827,TePCl9,46,Ima2,44,0.0,True,7.534856194979511e-06,8.401876584684942e-06,False,False,False,7.968366389832227e-06,True
mp-27229,Sb6S2O15,37,Ccc2,46,0.0,True,6.71013140163268e-06,8.068582246778533e-06,False,False,False,7.389356824205606e-06,True
mp-1220452,NbCu3(SeS)2,35,Cmm2,8,0.0,True,8.929011528380215e-06,5.640838935505599e-06,False,False,False,7.284925231942907e-06,True
mp-12364,BaCu2SnSe4,40,Ama2,16,0.0,True,7.89701607573079e-06,6.610879154322902e-06,False,False,False,7.253947615026846e-06,True
mp-1201177,CaB4(H10N)2,41,Aea2,54,0.076666469259261,False,7.524143256887328e-06,6.71227599013946e-06,False,False,False,7.118209623513394e-06,True
mp-1105202,Ba2InBiSe5,36,Cmc2_1,18,0.0,True,9.950435924110934e-06,4.21563481722842e-06,False,False,False,7.083035370669677e-06,True
mp-28099,SBr,41,Aea2,8,0.0,True,7.298077434825245e-06,6.848612883914029e-06,False,False,False,7.073345159369637e-06,True
mp-4497,Si2N2O,36,Cmc2_1,10,0.0,True,9.854009476839565e-06,4.2722149373730645e-06,False,False,False,7.063112207106315e-06,True
mp-567278,Sr(Si3N4)2,44,Imm2,15,0.0,True,7.500057563447626e-06,6.559833764185896e-06,False,False,False,7.029945663816761e-06,True
mp-1029442,Mg2TaN3,36,Cmc2_1,12,0.0,True,9.60448869591346e-06,4.435961272974964e-06,False,False,False,7.020224984444212e-06,True
mp-1029387,TaZn2N3,36,Cmc2_1,12,0.0,True,8.349095878656954e-06,5.67282950214576e-06,False,False,False,7.010962690401357e-06,True
mp-556653,Cd2BiAsO6,36,Cmc2_1,20,0.0,True,7.546657343482366e-06,6.426498202927178e-06,False,False,False,6.986577773204772e-06,True
mp-1029378,Mg2SbN3,36,Cmc2_1,12,0.0,True,8.307327334478032e-06,5.573739599640248e-06,False,False,False,6.94053346705914e-06,True
mp-1216363,VCu3(SeS)2,35,Cmm2,8,0.0,True,8.678446647536475e-06,4.868167707172688e-06,False,False,False,6.773307177354582e-06,True
mp-707304,Be4Si2H2O9,36,Cmc2_1,34,0.0,True,8.364166205865331e-06,4.803401225217385e-06,False,False,False,6.583783715541358e-06,True
mp-1189339,Ba2InSbSe5,36,Cmc2_1,18,0.0,True,9.502783541393e-06,3.4725576369964983e-06,False,False,False,6.4876705891947495e-06,True
mp-1029422,NbZn2N3,36,Cmc2_1,12,0.0,True,7.466030638170196e-06,5.353766482585343e-06,False,False,False,6.409898560377769e-06,True
mp-2646978,GaN,107,I4mm,8,0.42560438375000004,False,7.3896344474633224e-06,4.91013133796514e-06,False,False,False,6.149882892714231e-06,True
mp-1029262,VZn2N3,36,Cmc2_1,12,0.0,True,7.490950792998774e-06,4.5645069803867955e-06,False,False,False,6.027728886692785e-06,True
mp-1029368,Mg2VN3,36,Cmc2_1,12,0.0,True,7.817156074452214e-06,4.184213139524218e-06,False,False,False,6.000684606988216e-06,True
mp-567771,Ba(Si3N4)2,44,Imm2,15,0.0,True,6.662201030849246e-06,4.7968273975129705e-06,False,False,False,5.729514214181108e-06,True
mp-28096,SCl,43,Fdd2,16,0.0,True,6.7879914240620565e-06,4.4108987822255585e-06,False,False,False,5.5994451031438075e-06,True
