material_id,formula,spacegroup_number,spacegroup_symbol,num_atoms,energy_above_hull,is_stable,gcnn_probability,nequip_probability,gcnn_ferroelectric,nequip_ferroelectric,consensus_ferroelectric,avg_probability,is_known_fe,label_source,refined_ferroelectric
mp-17823,Tl3B3S10,2,P-1,32,0.0,True,0.0141052966937422,0.9999822378158568,False,True,False,0.5070437672547996,False,model_prediction,True
mp-686701,Nd3O2F5,6,Pm,20,0.249609683499995,False,0.9999392032623292,0.0141406431794166,True,False,False,0.5070399232208729,False,model_prediction,True
mp-1227266,CaLaGa3S7,4,P2_1,24,0.015144604340271,False,0.0140739660710096,0.9999984502792358,False,True,False,0.5070362081751227,False,model_prediction,True
mp-1567941,CaV4O6,8,Cm,22,0.039785491212111,False,0.0144160222262144,0.999641180038452,False,True,False,0.5070286011323333,False,model_prediction,True
mp-560342,Ag4GeO4,2,P-1,36,0.03618953111111,False,0.9897022247314452,0.0241995230317115,True,False,False,0.5069508738815784,False,model_prediction,True
mp-1237178,Hf3NiF6,2,P-1,10,1.216457281,False,0.9999927282333374,0.013900744728744,True,False,False,0.5069467364810407,False,model_prediction,True
mp-2715439,Na3TaTi(SiO4)3,9,Cc,80,0.020323430666662,False,0.0150134023278951,0.9987560510635376,False,True,False,0.5068847266957164,False,model_prediction,True
mp-27787,NbPCl10,2,P-1,24,0.0,True,0.0137758767232298,0.9999858140945436,False,True,False,0.5068808454088867,False,model_prediction,True
mp-638104,Nb2Tl4Se11,2,P-1,34,0.0,True,0.0137705784291028,0.999951720237732,False,True,False,0.5068611493334174,False,model_prediction,True
mp-770332,NaBiCSO7,4,P2_1,22,0.045692181969696,False,0.0136203495785593,0.9999876022338868,False,True,False,0.5068039759062231,False,model_prediction,True
mp-853024,La4Al6O15,5,C2,50,0.073836973599995,False,0.9999758005142212,0.0135661624372005,True,False,False,0.5067709814757109,False,model_prediction,True
mp-2225311,KMgMnO2,8,Cm,5,0.337869892654596,False,0.9999921321868896,0.0134432334452867,True,False,False,0.5067176828160882,False,model_prediction,True
mp-1400202,MgBiF5,9,Cc,14,0.101146684999999,False,0.9999949932098388,0.0133933965116739,True,False,False,0.5066941948607564,False,model_prediction,True
mp-2229195,MgNb4VO12,1,P1,18,0.045472382451389,False,0.0134408129379153,0.9998866319656372,False,True,False,0.5066637224517763,False,model_prediction,True
mp-675509,Mg4(BiO2)9,1,P1,31,0.176483775887113,False,0.9997764229774476,0.0135101499035954,True,False,False,0.5066432864405215,False,model_prediction,True
mp-1233781,Y4Mg(BiO3)4,1,P1,21,0.218476528928573,False,0.0133093520998954,0.9999659061431884,False,True,False,0.506637629121542,False,model_prediction,True
mp-770579,LaMgI5,4,P2_1,28,0.091844558214287,False,0.9999923706054688,0.0132828783243894,True,False,False,0.5066376244649291,False,model_prediction,True
mp-1220361,NbO3,99,P4mm,4,0.188615306607143,False,0.9999427795410156,0.013313453644514,True,False,False,0.5066281165927649,False,model_prediction,True
mp-1097917,TlNiO3,8,Cm,5,0.365980831666666,False,0.9999784231185912,0.0131608108058571,True,False,False,0.5065696169622242,False,model_prediction,True
mp-18097,V4Zn3(PO4)6,2,P-1,37,0.010991147027028,False,0.0141386892646551,0.9989786148071288,False,True,False,0.506558652035892,False,model_prediction,True
mp-1225829,CsTiAlO4,44,Imm2,14,0.0,True,0.0130383521318435,0.9999947547912598,False,True,False,0.5065165534615517,False,model_prediction,True
mp-1194101,Cs2In(IO3)6,2,P-1,27,0.032568901419753,False,0.0130268223583698,0.99999737739563,False,True,False,0.5065120998769999,False,model_prediction,True
mp-677056,Na2UI6,1,P1,27,0.023799504814812,False,0.9999483823776244,0.0129591031000018,True,False,False,0.5064537427388132,False,model_prediction,True
mp-1374254,CaVBiO6,4,P2_1,18,0.129599577916662,False,0.0128958355635404,0.999997854232788,False,True,False,0.5064468448981643,False,model_prediction,True
mp-761151,Zr6O11,25,Pmm2,17,0.08387070720588,False,0.0128888143226504,0.9999974966049194,False,True,False,0.5064431554637849,False,model_prediction,True
mp-1235966,LiPr2Ta2Cl2O7,8,Cm,14,0.038078273430956,False,0.0128746340051293,0.9999960660934448,False,True,False,0.5064353500492871,False,model_prediction,True
mp-1190244,ErScS3,33,Pna2_1,20,0.01725918258333,False,0.012850034981966,0.9999972581863404,False,True,False,0.5064236465841532,False,model_prediction,True
mp-2214978,V3CoSn2(PO4)6,1,P1,36,0.099110339456017,False,0.999980092048645,0.0127800172194838,True,False,False,0.5063800546340644,False,model_prediction,True
mp-1202898,InAs2NO7,2,P-1,44,0.324721255795454,False,0.9999607801437378,0.0127679426223039,True,False,False,0.5063643613830209,False,model_prediction,True
mp-1214481,CaU2Si2(HO3)4,4,P2_1,42,0.363725577777775,False,0.0127578247338533,0.9999538660049438,False,True,False,0.5063558453693986,False,model_prediction,True
mp-37808,Sc(TiN)9,2,P-1,19,0.0,True,0.0127105480059981,0.9999980926513672,False,True,False,0.5063543203286827,False,model_prediction,True
mp-774815,Na9Li7V16O48,5,C2,80,0.012821927937497,False,0.9941251277923584,0.0185192432254552,True,False,False,0.5063221855089068,False,model_prediction,True
