material_id,formula,spacegroup_number,spacegroup_symbol,energy_above_hull,is_stable,gcnn_v6_prob,nequip_v2_prob,gcnn_ferroelectric,nequip_ferroelectric,consensus_ferroelectric,is_known_fe,is_known_non_fe
mp-1245095,GaN,1,P1,0.6822655215999991,False,9.135667985068115e-08,5.514565248887493e-09,False,False,False,True,False
mp-1245106,GaN,1,P1,0.7246973765000011,False,8.685245470966645e-08,5.8790763368676835e-09,False,False,False,True,False
mp-1245130,GaN,1,P1,0.6864534776999981,False,8.493373115925351e-08,6.446798650472374e-09,False,False,False,True,False
mp-1245132,GaN,1,P1,0.6782511019,False,8.33285227486158e-08,6.194187829322573e-09,False,False,False,True,False
mp-1245138,GaN,1,P1,0.7056302410999991,False,7.756230739156915e-08,6.02646688108166e-09,False,False,False,True,False
mp-1245148,GaN,1,P1,0.6774361425999991,False,7.641472402989773e-08,5.798603819329173e-09,False,False,False,True,False
mp-1245150,GaN,1,P1,0.732484944699999,False,7.736877449815438e-08,5.092616106594505e-09,False,False,False,True,False
mp-1245165,GaN,1,P1,0.7190388972,False,8.470075130162513e-08,5.3186832715823584e-09,False,False,False,True,False
mp-1245172,GaN,1,P1,0.692297167500001,False,7.997278572702271e-08,5.857362594952065e-09,False,False,False,True,False
mp-1245181,GaN,1,P1,0.7032842138000001,False,7.896377477815501e-08,7.026248027841575e-09,False,False,False,True,False
mp-1245188,GaN,1,P1,0.685712142799999,False,8.040910159934356e-08,5.333586017286507e-09,False,False,False,True,False
mp-1245233,GaN,1,P1,0.6488537591999991,False,8.502018763086501e-08,5.959506221842048e-09,False,False,False,True,False
mp-1245244,GaN,1,P1,0.7028208625000011,False,7.913704299274589e-08,4.7642458866903326e-09,False,False,False,True,False
mp-1245258,GaN,1,P1,0.7122079139,False,8.776716716359563e-08,5.817768933269463e-09,False,False,False,True,False
mp-1245286,GaN,1,P1,0.6846381122,False,7.976003738955721e-08,6.100471239278704e-09,False,False,False,True,False
mp-1245288,GaN,1,P1,0.682517757799999,False,9.129128860270914e-08,5.7605942238581065e-09,False,False,False,True,False
mp-1245295,GaN,1,P1,0.7077972144000011,False,8.466847608209112e-08,5.66583535643872e-09,False,False,False,True,False
mp-1245302,GaN,1,P1,0.7277775392999991,False,8.025167375080855e-08,5.852248463611431e-09,False,False,False,True,False
mp-1245326,GaN,1,P1,0.704239551,False,8.253292567890942e-08,5.8231419686194386e-09,False,False,False,True,False
mp-664137,GeS2,1,P1,0.018121943124999002,False,2.539275432885309e-07,3.3601207860556315e-07,False,False,False,True,False
mp-684678,H2O,1,P1,0.447501782261904,False,0.6360787078209995,2.023598881351063e-06,True,False,False,True,False
mp-625171,H7ClO3,1,P1,0.051433027727273005,False,0.6666507846330205,1.3734697859035805e-06,True,False,False,True,False
mp-685272,InSnBr3,1,P1,0.043685626624998,False,9.791747856979782e-08,5.259888080644259e-09,False,False,False,True,False
mp-998398,InSnBr3,1,P1,0.030300713999997002,False,3.2201529620579095e-06,1.1529651544606168e-07,False,False,False,True,False
mp-695209,KNb4AsO13,1,P1,0.00023275039473700002,False,1.0023331261284814e-07,5.774432931815454e-09,False,False,False,True,False
mp-3346528,NaH9O5,1,P1,0.019285199000000003,False,2.4785707713211497e-05,2.0122897126384487e-07,False,False,False,True,False
mp-3347018,NaH9O5,1,P1,0.013849552333333001,False,5.466900176998024e-07,3.8634607335552573e-07,False,False,False,True,False
mp-625455,NaH9O5,1,P1,0.049710291666666004,False,7.157203659365526e-07,0.00035762920742854476,False,False,False,True,False
mp-625501,NaH9O5,1,P1,0.028237091000000002,False,7.257887849239827e-07,6.76569484880929e-08,False,False,False,True,False
mp-626165,NaH9O5,1,P1,0.05230300400000001,False,7.109044967516335e-07,5.583990514423931e-08,False,False,False,True,False
mp-626554,NaH9O5,1,P1,0.029116060333333003,False,9.81716776019918e-07,0.001190642942674458,False,False,False,True,False
mp-1220802,NaHSeO4,1,P1,0.0,True,1.314061577772918e-06,0.9999974966049194,False,True,False,True,False
mp-1244897,P2O5,1,P1,0.7254282963333331,False,8.693792589535103e-08,2.4614634774877686e-09,False,False,False,True,False
mp-1245177,P2O5,1,P1,0.813887489190477,False,8.962369690834748e-08,2.2216273265485142e-09,False,False,False,True,False
mp-1245218,P2O5,1,P1,0.5669292150952391,False,1.555249392974171e-07,2.8438631449745344e-09,False,False,False,True,False
mp-1245245,P2O5,1,P1,0.771569029000001,False,7.085483512507077e-07,2.448726332815454e-09,False,False,False,True,False
mp-689684,P2O5,1,P1,0.743536944285715,False,0.333330726838426,1.6072314679149713e-07,True,False,False,True,False
mp-1378888,RbAs4(HO4)3,1,P1,3.011517444500001,False,1.6859203962364216e-05,1.445246056164251e-07,False,False,False,True,False
mp-625199,ScHO2,1,P1,0.21486942249999902,False,2.4683973739077675e-07,6.421147418222972e-07,False,False,False,True,False
mp-1179337,Sr(H8O5)2,1,P1,0.06281439074074101,False,6.581575841361579e-07,1.3746515037382778e-07,False,False,False,True,False
mp-1179365,Sr(H8O5)2,1,P1,0.025683947592593,False,2.245905908656217e-07,2.9811232593601744e-08,False,False,False,True,False
mp-1179374,Sr(H8O5)2,1,P1,0.058399293703704,False,1.678418063496186e-06,8.502996706738486e-08,False,False,False,True,False
mp-1179416,Sr(H8O5)2,1,P1,0.034346158148148,False,9.028379393072328e-05,2.757414208076625e-08,False,False,False,True,False
mp-625841,Sr(H8O5)2,1,P1,0.032423533703703,False,3.6248349033485283e-07,3.077502697124146e-08,False,False,False,True,False
mp-625860,Sr(H8O5)2,1,P1,0.030087237592592003,False,0.3332220432543001,3.071252052677664e-08,True,False,False,True,False
mp-626210,Sr(H8O5)2,1,P1,0.061706747037037005,False,7.768672058242979e-07,6.819122688739299e-08,False,False,False,True,False
mp-626216,Sr(H8O5)2,1,P1,0.059270977407407006,False,0.00121037173893986,5.025401250691175e-08,False,False,False,True,False
mp-626271,Sr(H8O5)2,1,P1,0.038108944629629,False,0.09256434735494186,3.0972415743235615e-08,True,False,False,True,False
mp-626282,Sr(H8O5)2,1,P1,0.022033455370370002,False,0.333210005797298,2.9692008851611718e-08,True,False,False,True,False
mp-626293,Sr(H8O5)2,1,P1,0.023350987592593003,False,0.6657868199722543,3.3479075511877454e-08,True,False,False,True,False
mp-626315,Sr(H8O5)2,1,P1,0.045545557962963,False,2.060929441919749e-07,2.1256216342635526e-08,False,False,False,True,False
mp-626337,Sr(H8O5)2,1,P1,0.043232375555555,False,8.541735378268337e-07,2.850288538525092e-08,False,False,False,True,False
mp-32884,Ag2S,2,P-1,0.0106076,False,0.28871470919057174,5.4748273470295317e-08,True,False,False,True,False
mp-1045157,CaTa2Bi2O9,2,P-1,0.04131146892856501,False,1.7967748533465056e-07,7.080589625729772e-08,False,False,False,True,False
mp-755115,CuReO4,2,P-1,0.056393246041667004,False,5.240055775364756e-06,1.877754272072707e-07,False,False,False,True,False
mp-768337,CuReO4,2,P-1,0.078273892430555,False,0.33321586671030917,2.3493058165513503e-08,True,False,False,True,False
mp-768878,CuReO4,2,P-1,0.023444757152778002,False,0.3333284995573938,2.5210770360217793e-08,True,False,False,True,False
mp-852643,CuReO4,2,P-1,0.984830127986111,False,1.0627318639914545e-06,1.9394468253608466e-08,False,False,False,True,False
mp-1181087,H2O,2,P-1,0.31017733361111005,False,0.6574727704129751,3.2209268852056994e-07,True,False,False,True,False
mp-1182019,H2O,2,P-1,0.08490050611111101,False,5.500432479266237e-06,4.860708031628747e-07,False,False,False,True,False
mp-675132,K6InP3,2,P-1,0.0033162949999990003,False,0.33337654967787483,5.030373722547665e-05,True,False,False,True,False
mp-757490,LiSnPO4,2,P-1,0.075885187738102,False,1.3886519193799055e-07,1.5059197266964475e-07,False,False,False,True,False
mp-757885,LiSnPO4,2,P-1,0.07740390345238701,False,1.9297288152605083e-07,6.177766920245631e-08,False,False,False,True,False
mp-1179717,RbPbF3,2,P-1,0.022834762500001,False,3.035793838535028e-07,0.9992768168449402,False,True,False,True,False
mp-605350,RbPbF3,2,P-1,0.062434977500001,False,2.7028190174860356e-07,3.446643859206233e-07,False,False,False,True,False
mp-669474,RbTeNO3F4,2,P-1,0.010281684499999002,False,0.0016293671591540715,4.330106548877666e-07,False,False,False,True,False
mp-626197,Sr(H8O5)2,2,P-1,0.05911544555555501,False,7.248066822285182e-07,4.998291558422352e-08,False,False,False,True,False
mp-27935,AlICl6,4,P2_1,0.0,True,0.999992847442627,1.0747676242317539e-05,True,False,False,True,False
mp-696946,BaSn2(HO2)2,4,P2_1,0.0,True,0.9999991257985433,1.1983317449448805e-07,True,False,False,True,False
mp-1227646,Be2BH3O5,4,P2_1,0.003600924090909,False,0.6666644813290077,2.716959954796039e-07,True,False,False,True,False
mp-755488,SrTaNO2,4,P2_1,0.006677336000000001,False,0.3333609597192056,2.4917397240642458e-05,True,False,False,True,False
mp-1105366,KAu(IO3)4,5,C2,0.0035410866666660003,False,4.510595241905928e-06,0.0001408931566402316,False,False,False,True,False
mp-1179340,Sr(H8O5)2,5,C2,0.063064699629629,False,0.3333521657483895,2.7460519049782306e-06,True,False,False,True,False
mp-1179371,Sr(H8O5)2,5,C2,0.05451302925925901,False,0.33508011094575824,6.392027671608957e-07,True,False,False,True,False
mp-780671,SrTaNO2,5,C2,0.0066216605,False,0.33387110871289377,1.5306123657410353e-07,True,False,False,True,False
mp-849636,SrTaNO2,5,C2,0.006824091000000001,False,0.3333341372948553,1.3084381578210014e-07,True,False,False,True,False
mp-755441,SrTaNO2,6,Pm,0.006096150000001001,False,0.6630922317992637,4.98335168686026e-07,True,False,False,True,False
mp-38511,Ag2S,7,Pc,0.034228008333332005,False,0.0013419317876639525,1.6513195078005083e-07,False,False,False,True,False
mp-1225967,CsPSe6,7,Pc,0.0,True,2.474625792577475e-06,0.9999982118606567,False,True,False,True,False
mp-1197287,GeS2,7,Pc,0.007571829513889,False,0.00048702527022233727,0.9678469300270081,False,True,False,True,False
mp-2017755,GeS2,7,Pc,0.00010686972222100001,False,0.00022933235826864498,0.9999464750289917,False,True,False,True,False
mp-756088,SrTaNO2,7,Pc,0.0032457335000000004,False,7.07933643676976e-06,3.286998264684371e-07,False,False,False,True,False
mp-1191256,Ca2CdAs2,8,Cm,0.021480954999999,False,3.638107320587854e-07,5.703559224912169e-08,False,False,False,True,False
mp-2762335,InSnBr3,8,Cm,0.05868024599999701,False,0.9822550217310587,1.4629058568971232e-06,True,False,False,True,False
mp-754459,BCl(OF2)2,9,Cc,0.009036455624999001,False,0.9999967018763224,1.0578926321613835e-06,True,False,False,True,False
mp-645206,CuReO4,9,Cc,0.00014397395833300002,False,8.370603225671402e-06,6.078835212974809e-08,False,False,False,True,False
mp-625145,H7ClO3,9,Cc,0.043697171363636,False,0.9999990065892538,2.284167521793279e-06,True,False,False,True,False
mp-625151,H7ClO3,9,Cc,0.00034760272727300004,False,0.9999988873799642,3.1327253964263946e-05,True,False,False,True,False
mp-1221287,Na3Sc2(PO4)3,9,Cc,0.003887871749999,False,0.3336149054618242,2.707986084260483e-07,True,False,False,True,False
mp-2715413,Na3Sc2(PO4)3,9,Cc,0.007397294625000001,False,1.6075354380973295e-07,7.98678723157309e-09,False,False,False,True,False
mp-2715518,Na3Sc2(PO4)3,9,Cc,0.011101891166666001,False,8.679757475723211e-08,2.3191328857308235e-09,False,False,False,True,False
mp-663300,PdF4,9,Cc,0.026732312,False,0.9999336997667948,0.00017418987408746034,True,False,False,True,False
mp-1179353,Sr(H8O5)2,9,Cc,0.045440638703704,False,0.9999992847442627,0.0006056152633391321,True,False,False,True,False
mp-625824,Sr(H8O5)2,9,Cc,0.035245969259259005,False,0.9999986886978149,0.003120162757113576,True,False,False,True,False
mp-626287,Sr(H8O5)2,9,Cc,0.062072661666666,False,0.998155395189921,1.8957425709231757e-05,True,False,False,True,False
mp-505321,CsNb(CuTe2)2,33,Pna2_1,0.0,True,0.9999985694885254,7.137782085919753e-05,True,False,False,True,False
