material_id,formula,spacegroup_number,spacegroup_symbol,energy_above_hull,is_stable,gcnn_v6_prob,nequip_v2_prob,gcnn_ferroelectric,nequip_ferroelectric,consensus_ferroelectric,is_known_fe,is_known_non_fe
mp-23011,RbClO3,160,R3m,0.065171114000001,False,0.9999990463256836,0.9999998807907104,True,True,True,False,False
mp-1206603,RbCrSe2,160,R3m,0.0,True,0.9999991257985433,1.0,True,True,True,False,False
mp-2242203,RbMgMoO3,160,R3m,0.595960122916669,False,0.9999990860621134,1.0,True,True,True,False,False
mp-2227220,RbMgNbO3,160,R3m,0.266864657916666,False,0.9999990860621134,1.0,True,True,True,False,False
mp-2223672,RbMgSbO3,160,R3m,0.20314108500000302,False,0.9999990860621134,1.0,True,True,True,False,False
mp-1219584,RbNO3,160,R3m,0.0,True,0.9999991257985433,1.0,True,True,True,False,False
mp-2211747,RbNO3,160,R3m,0.002894118,False,0.9999991257985433,1.0,True,True,True,False,False
mp-7795,RbSnS2,160,R3m,0.12138951909374901,False,0.999999205271403,1.0,True,True,True,False,False
mp-16318,RbTiS2,160,R3m,0.0,True,0.9999991257985433,1.0,True,True,True,False,False
mp-1219545,Re4(As2S)3,160,R3m,0.0,True,0.9999993642171224,1.0,True,True,True,False,False
mp-685698,Re8Pb8O27,160,R3m,0.078230632816655,False,0.9999982913335165,0.9852563738822937,True,True,True,False,False
mp-1219541,ReMo2C,160,R3m,0.32789881124999803,False,0.9999992847442627,1.0,True,True,True,False,False
mp-540656,Sb(S8I)3,160,R3m,0.0,True,0.999999205271403,1.0,True,True,True,False,False
mp-1219475,Sb2Te2Se,160,R3m,0.032122693999999,False,0.9999991655349731,1.0,True,True,True,False,False
mp-8612,Sb2TeSe2,160,R3m,0.0,True,0.999999205271403,0.9817513823509216,True,True,True,False,False
mp-1219543,Sb3RhPb4O13,160,R3m,0.0,True,0.9999990860621134,1.0,True,True,True,False,False
mp-1219457,SbAs,160,R3m,0.0,True,0.9999991655349731,1.0,True,True,True,False,False
mp-1173573,Sc10V10O37,160,R3m,0.427284655723669,False,0.999999483426412,1.0,True,True,True,False,False
mp-1219646,Sc19(RuBr7)4,160,R3m,0.0,True,0.9999992450078329,1.0,True,True,True,False,False
