material_id,formula,spacegroup_number,spacegroup_symbol,energy_above_hull,is_stable,gcnn_probability,nequip_probability,gcnn_v6_prob,nequip_v2_prob,avg_prob,min_prob
mp-1195433,K4Ge(PSe3)4,29,Pca2_1,0.0,True,0.9999929666519164,0.9999949932098388,0.9999994039535522,1.0,0.9999968409538268,0.9999929666519164
mp-510519,Rb2V3O8,100,P4bm,0.0,True,0.999991536140442,0.9999966621398926,0.9999992450078328,0.9999998807907104,0.9999968310197194,0.999991536140442
mp-721896,H4CSN2,26,Pmc2_1,0.0,True,0.999991536140442,0.999996304512024,0.9999993244806924,1.0,0.9999967912832896,0.999991536140442
mp-733468,K2PHO4,33,Pna2_1,0.0,True,0.999990701675415,0.9999971389770508,0.9999993642171224,0.9999998807907104,0.9999967714150748,0.999990701675415
mp-1208174,Tl2V3O8,100,P4bm,0.0,True,0.9999903440475464,0.9999974966049194,0.999999205271403,1.0,0.9999967614809672,0.9999903440475464
mp-1018095,BaGaGeH,156,P3m1,0.0,True,0.9999921321868896,0.9999957084655762,0.9999993244806924,0.9999998807907104,0.9999967614809672,0.9999921321868896
mp-6639,RbGeSbO5,33,Pna2_1,0.0,True,0.9999901056289672,0.999997615814209,0.9999994039535522,0.9999998807907104,0.9999967515468596,0.9999901056289672
mp-18625,KPSe6,29,Pca2_1,0.0,True,0.9999891519546508,0.9999984502792358,0.999999483426412,0.9999998807907104,0.9999967416127524,0.9999891519546508
mp-626620,RbHO,36,Cmc2_1,0.0,True,0.999992609024048,0.999995231628418,0.999999205271403,0.9999998807907104,0.9999967316786448,0.999992609024048
mp-18440,Rb7NbAs4,31,Pmn2_1,0.0,True,0.9999946355819702,0.9999954700469972,0.999996860822042,0.9999998807907104,0.99999671181043,0.9999946355819702
mp-646007,Cs2Tb6Te7N2,8,Cm,0.0,True,0.9999914169311525,0.9999980926513672,0.9999991257985432,0.9999982118606568,0.9999967118104298,0.9999914169311525
mp-9332,KGaPO4F,33,Pna2_1,0.0,True,0.9999897480010986,0.999997854232788,0.9999993244806924,0.9999998807907104,0.9999967018763224,0.9999897480010986
mp-1198192,Rb2ZnBr4,33,Pna2_1,0.0,True,0.999992609024048,0.9999960660934448,0.9999980529149374,1.0,0.9999966820081077,0.999992609024048
mp-1220796,Na5SrNbAs4,9,Cc,0.0,True,0.9999943971633912,0.9999934434890748,0.999999483426412,0.9999994039535522,0.9999966820081077,0.9999934434890748
mp-1188721,IN4,33,Pna2_1,0.0,True,0.999990701675415,0.999996542930603,0.9999993244806924,1.0,0.9999966422716776,0.999990701675415
mp-1202716,S2I2O11,33,Pna2_1,0.0,True,0.999990463256836,0.9999966621398926,0.9999991257985432,0.9999998807907104,0.9999965329964956,0.999990463256836
mp-1214176,Ca2B5ClO9,34,Pnn2,0.0,True,0.999991774559021,0.9999951124191284,0.9999992847442628,0.9999998807907104,0.9999965131282806,0.999991774559021
mp-6805,K3Ga2(PO4)3,33,Pna2_1,0.0,True,0.9999887943267822,0.9999979734420776,0.999999205271403,0.9999998807907104,0.9999964634577432,0.9999887943267822
