material_id,formula,spacegroup_number,spacegroup_symbol,energy_above_hull,is_stable,gcnn_probability,nequip_probability,gcnn_v6_prob,nequip_v2_prob,avg_prob,min_prob
mp-652353,PC2S2N3,2,P-1,0.124524880877975,False,0.9997628331184388,0.998482882976532,2.04102557669709e-07,1.294026841236473e-08,0.4995614832844492,1.294026841236473e-08
mp-1204649,Ca8P6O29,2,P-1,0.301976040949638,False,0.9999756813049316,0.9982629418373108,1.1318978465624241e-07,5.215312626205559e-09,0.49955968538683493,5.215312626205559e-09
mp-685352,Ca2NF,8,Cm,0.0,True,0.9925220608711244,0.9999951124191284,0.0056898104288194,1.0855930376862943e-08,0.4995517486437506,1.0855930376862943e-08
mp-29914,Er7(NiTe)2,44,Imm2,0.0,True,7.294459010154242e-06,6.90586284690653e-06,0.9999994039535522,0.9981764554977416,0.49954751494328775,6.90586284690653e-06
mp-2217879,MgMoOs(PbO3)2,1,P1,0.483332232272728,False,0.9999828338623048,0.998117446899414,2.470284812261525e-07,3.3848465363917064e-08,0.49952514040966634,3.3848465363917064e-08
mp-733454,PbC2S2(BrN2)2,4,P2_1,0.7303669214610391,False,0.998097598552704,0.999997615814209,9.959079155426782e-07,1.074262598876885e-07,0.49952407942527205,1.074262598876885e-07
mp-1221158,Na4ScIn3(SiO3)8,5,C2,0.00099003725,False,0.9987303614616394,0.9993603825569152,3.440628996524235e-07,2.6847990497458344e-08,0.49952277873236123,2.6847990497458344e-08
mp-698263,KYH4C4O9,1,P1,0.374043044868429,False,0.998076319694519,0.999996542930603,6.698683516030238e-07,1.2680705196999045e-07,0.49951841482513143,1.2680705196999045e-07
mp-686722,Na3TlH24(ClO2)6,1,P1,0.216557292391305,False,0.9981451034545898,0.9999208450317384,1.1525139598234094e-07,2.0795008381924166e-08,0.4995165211331831,2.0795008381924166e-08
mp-1245113,Al38O21,1,P1,0.179112609237287,False,0.9999585151672364,0.9980894923210144,1.5363093789725704e-07,1.9153349128941958e-08,0.49951204506813446,1.9153349128941958e-08
mp-1369593,Zn2Sn9O13,2,P-1,0.156861090989581,False,0.9980388283729552,0.9999955892562866,1.2038847690594896e-06,8.858344813233998e-08,0.49950892752436477,8.858344813233998e-08
mp-778384,Li4Co3P4O15,33,Pna2_1,0.074641462564116,False,1.5494168110308237e-05,4.461993012228049e-05,0.9980252981185912,0.99994158744812,0.49950674991623595,1.5494168110308237e-05
mp-1173838,Na2Ca2P2O7F2,1,P1,0.204867511814827,False,0.9980263113975524,0.9999966621398926,9.248038187100369e-08,1.2423947204354135e-08,0.4995057696104435,1.2423947204354135e-08
mp-675223,La4Ag2Se7,7,Pc,0.086923726594584,False,0.999992847442627,0.9980214834213256,1.900920665320882e-07,7.144634395217508e-08,0.4995036481005908,7.144634395217508e-08
mp-1205074,K3Er(SO4)3,7,Pc,0.0,True,0.9980145692825316,0.9999980926513672,1.66379692245755e-07,1.1475708383557048e-08,0.4995032099473249,1.1475708383557048e-08
mp-1173840,NaCaH6S2NO9,7,Pc,0.073403549687491,False,0.999958872795105,0.9980263113975524,8.96870417932405e-08,4.9958397418947706e-09,0.49949631971888475,4.9958397418947706e-09
