filepath,formula,spacegroup_number,spacegroup_symbol,num_atoms,probability,is_ferroelectric
/home/ubuntu/ai_wh/wh-ai/new_data/database/Li2CoO3/mp_1173894_mp_1173889_cost_0.3813/2_normalized.vasp,Li2CoO3,1,P1,12,0.9999953508377076,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/K2ThF6/mp_14193_mp_675562_cost_0.4903/3_normalized.vasp,K2ThF6,1,P1,18,0.9999953508377076,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/BaF3/mp_1183303_mp_1080821_cost_0.1596/2_normalized.vasp,BaF3,1,P1,8,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/KMgNbO3/mp_2226449_mp_2210633_cost_0.1065/2_normalized.vasp,KMgNbO3,1,P1,6,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Li2TiO3/mp_1222656_mp_36864_cost_0.3825/3_normalized.vasp,Li2TiO3,1,P1,12,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Na3MgBiO4/mp_2224216_mp_2217269_cost_0.3199/4_normalized.vasp,Na3MgBiO4,1,P1,9,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Ca3SiBr2/mp_29881_mp_570182_cost_0.3111/3_normalized.vasp,Ca3SiBr2,1,P1,6,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/CaSnO3/mp_546910_mp_4190_cost_0.4312/4_normalized.vasp,CaSnO3,1,P1,10,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Rb4Mg(FeO2)4/mp_2228931_mp_2229372_cost_0.3624/5_normalized.vasp,Rb4Mg(FeO2)4,1,P1,17,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/NaN3/mp_1064715_mp_1066400_cost_0.3030/2_normalized.vasp,NaN3,1,P1,4,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/CaSnS3/mp_866820_mp_1100389_cost_0.3558/3_normalized.vasp,CaSnS3,1,P1,10,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/KCaBr3/mp_998599_mp_1211648_cost_0.2505/2_normalized.vasp,KCaBr3,1,P1,20,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Li3Co2O5/mp_1174033_mp_1173983_cost_0.4209/3_normalized.vasp,Li3Co2O5,1,P1,20,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/K2Fe2SeS3/mp_1223698_mp_1407746_cost_0.4252/2_normalized.vasp,K2Fe2SeS3,1,P1,8,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Ba2Mg(TiS3)2/mp_2226142_mp_2224773_cost_0.1025/4_normalized.vasp,Ba2Mg(TiS3)2,8,Cm,11,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Rb2ZrO3/mp_756156_mp_752401_cost_0.1084/2_normalized.vasp,Rb2ZrO3,1,P1,12,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/SrZrO3/mp_1068742_mp_613402_cost_0.4329/2_normalized.vasp,SrZrO3,1,P1,5,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/K3Co/mp_1079139_mp_976583_cost_0.3205/2_normalized.vasp,K3Co,1,P1,8,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/MgCl2/mp_570259_mp_570782_cost_0.3627/4_normalized.vasp,MgCl2,1,P1,6,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/LiF/mp_1009009_mp_1185301_cost_0.2866/2_normalized.vasp,LiF,1,P1,4,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/LiMgP/mp_961683_mp_10178_cost_0.1848/4_normalized.vasp,LiMgP,8,Cm,3,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/RbTlBr3/mp_998391_mp_998606_cost_0.0279/2_normalized.vasp,RbTlBr3,9,Cc,10,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/KIO3/mp_552729_mp_1180816_cost_0.0344/4_normalized.vasp,KIO3,1,P1,20,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Li3BH6/mp_1180894_mp_655001_cost_0.4303/3_normalized.vasp,Li3BH6,1,P1,20,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Sr2Mg(TiS3)2/mp_2239921_mp_2240567_cost_0.1067/2_normalized.vasp,Sr2Mg(TiS3)2,1,P1,11,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Li5Mn2CoO8/mp_1174355_mp_1174428_cost_0.2313/3_normalized.vasp,Li5Mn2CoO8,1,P1,16,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/LiGeBO4/mp_8873_mp_549308_cost_0.3289/3_normalized.vasp,LiGeBO4,1,P1,7,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/RbInBr3/mp_998194_mp_998800_cost_0.0197/2_normalized.vasp,RbInBr3,9,Cc,10,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/LiHF2/mp_1180580_mp_632672_cost_0.1890/4_normalized.vasp,LiHF2,1,P1,4,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/SrF3/mp_1187177_mp_727311_cost_0.1501/2_normalized.vasp,SrF3,1,P1,8,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Na6MgV2(S3O)2/mp_2229140_mp_2229396_cost_0.4731/2_normalized.vasp,Na6MgV2(S3O)2,1,P1,17,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Li7(CoO3)2/mp_764768_mp_755498_cost_0.3711/4_normalized.vasp,Li7(CoO3)2,1,P1,15,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Ca2SnS4/mp_866818_mp_1100332_cost_0.4617/2_normalized.vasp,Ca2SnS4,1,P1,14,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/LiVF4/mp_752465_mp_754721_cost_0.4183/2_normalized.vasp,LiVF4,1,P1,12,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Na8Mg(CoO4)2/mp_2231061_mp_2230394_cost_0.4204/3_normalized.vasp,Na8Mg(CoO4)2,1,P1,19,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Li5Mg/mp_865604_mp_976944_cost_0.3215/2_normalized.vasp,Li5Mg,1,P1,6,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Li3Mg/mp_976254_mp_976256_cost_0.4309/2_normalized.vasp,Li3Mg,1,P1,4,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/RbSrCl3/mp_998155_mp_998755_cost_0.4721/3_normalized.vasp,RbSrCl3,1,P1,10,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Li2Cr3CoO8/mp_763336_mp_761675_cost_0.4984/3_normalized.vasp,Li2Cr3CoO8,1,P1,14,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/MgTi4O8/mp_1401384_mp_2218993_cost_0.3700/2_normalized.vasp,MgTi4O8,1,P1,13,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Li7SbO6/mp_37436_mp_27453_cost_0.0930/2_normalized.vasp,Li7SbO6,1,P1,14,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/LuF3/mp_1185487_mp_1207204_cost_0.2034/2_normalized.vasp,LuF3,8,Cm,4,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/KMg6Ni/mp_1022109_mp_1021959_cost_0.3041/2_normalized.vasp,KMg6Ni,1,P1,16,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/K4CO4/mp_1182825_mp_549687_cost_0.4851/1_normalized.vasp,K4CO4,1,P1,9,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/RbAc3/mp_975468_mp_975195_cost_0.4145/3_normalized.vasp,RbAc3,8,Cm,8,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/CdCN2/mp_1182015_mp_621694_cost_0.4733/4_normalized.vasp,CdCN2,1,P1,4,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/LiVSiO5/mp_763247_mp_754539_cost_0.1601/2_normalized.vasp,LiVSiO5,1,P1,16,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Ba2Mg(VS3)2/mp_2218040_mp_2217817_cost_0.3385/4_normalized.vasp,Ba2Mg(VS3)2,1,P1,11,0.999995231628418,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/BaMgTiO3/mp_2228114_mp_2210610_cost_0.0185/4_normalized.vasp,BaMgTiO3,8,Cm,6,0.999995231628418,True
