Material_Name,Material_ID,Workflow_Status,Max_Distortion (Å),Spontaneous_Strain (unitless),Symmetry_Change (Delta_SG),Bandgap (eV),Avg_Distortion (Å),Structural_Delta,Volume_Change_Ratio,Delta_Bandgap (eV),Delta_E (eV/atom),Ps (uC/cm2),Label
Sr(H2O3)2,mp-625836,COMPLETED,1.0298,0.0152,6,3.0286,0.1986,0.096,0.05105020968277704,0.5933999999999999,-0.03822811090909095,7.675209562595224,none_ferroelectric
V2O3,mp-553955,DEFUSED,1.3883,0.1021,6,0.9898,0.71,0.301,0.9175976434774646,-0.5625999999999998,null,null,none_ferroelectric
NbO2F,mp-752467,COMPLETED,1.4002,0.0268,6,2.2087,0.8185,0.415,0.012488216338121569,0.8820000000000001,0.1115036743749993,127.50480568432904,none_ferroelectric
Cd2P3Cl,mp-29246,COMPLETED,0.0468,0.0011,6,1.2605,0.015,0.004,0.0026828998203179163,-0.0129999999999999,5.3920416666741744e-05,0.8128207459639691,ferroelectric
Cr(PO3)3,mp-566776,COMPLETED,0.271,0.0015,6,3.1847000000000003,0.056,0.026,-0.006151036456163423,0.0506000000000002,0.0011136917307696947,0.33935890295408455,ferroelectric
H2SO4,mp-625474,COMPLETED,1.3606,0.0448,6,5.5421,0.3534,0.448,-0.018587792359611086,-0.5507,-0.04662869107142864,67.38924771470536,none_ferroelectric
K2HS2NO6,mp-695383,COMPLETED,0.5906,0.0088,6,5.2786,0.0765,0.03,-0.015141467909399547,0.20669999999999966,0.005607621041666455,3.205424464011094,ferroelectric
H2SO4,mp-625445,COMPLETED,1.0261,0.0149,6,5.8003,0.2734,0.211,0.027421485359620072,-0.5198,-0.033701177857142994,50.9724404875533,none_ferroelectric
FeBiO3,mp-24942,COMPLETED,0.6138,0.0206,61,1.7809,0.2487,0.101,2.3079382399269157,null,0.18231567733333343,124.52538625941162,none_ferroelectric
ScBiO3,mp-555313,COMPLETED,0.0913,0.0002,6,2.6986,0.0239,0.01,0.0007723533369116662,0.023800000000000487,0.00010580149999928068,5.6810957790006285,ferroelectric
Zn3(BO3)2,mp-559949,COMPLETED,0.0297,0.0003,6,2.7464,0.0047,0.004,-0.0007745669961192857,0.02069999999999972,-5.9687840908928536e-05,0.06336588745616482,ferroelectric
LiCu4(PO4)3,mp-761193,DEFUSED,1.4866,0.0662,6,0.0,0.1447,0.152,-0.10176098168081556,-0.26180000000000003,null,null,none_ferroelectric
LiFe4(PO4)3,mp-762896,COMPLETED,1.2472,0.0188,6,2.2147,0.1028,0.073,-0.04740293476736486,-1.0087000000000002,-0.01027577712499994,16.151716676624602,none_ferroelectric
Ba2Nd2Co4O11,mp-561781,DEFUSED,0.0656,0.0068,22,0.0,0.0098,0.018,-0.014022801308099273,-0.0618000000000003,null,null,none_ferroelectric
LiMn4(PO4)3,mp-32021,DEFUSED,1.1704,0.0135,6,2.5592,0.107,0.078,-0.03538662078181412,0.8342999999999998,null,null,none_ferroelectric
Sr(HO)2,mp-625184,COMPLETED,0.211,0.0034,36,3.9957000000000003,0.0384,0.029,0.01378067620106906,-0.05740000000000034,-0.0013997975000004104,1.1654561415252553,ferroelectric
